Name,Carl's,Date,Level,Minutes,Review Recommendation,Space Complexity,Status,Tags,Time Complexity,URL
209. Minimum Size Subarray Sum,,Jan 20,,20,✅ Good job,,Done,Array,,
59. Spiral Matrix,,Jan 20,,20,✅ Good job,,Done,Array,,
KamaCoder 58. 区间和,,Jan 23,,30,✅ Good job,,Done,"Array, PrefixSum",,
KamaCoder 44. 开发商购买土地,,Jan 23,,30,✅ Good job,,Done,"Array, PrefixSum",,
203. Remove Linked List Elements,,Jan 24,,20,✅ Good job,,Done,LinkedList,,
707. Design Linked List,,Jan 24,,30,✅ Good job,,Done,LinkedList,,
206. Reverse Linked List,,Jan 25,,40,✅ Good job,,Done,"DoublePointer, LinkedList",,
24. Swap Nodes in Pairs,,Jan 25,,35,✅ Good job,,Done,LinkedList,,
19. Remove Nth Node From End of List,,Jan 26,,25,✅ Good job,,Done,"DoublePointer, LinkedList",,
142. Linked List Cycle II,,Jan 27,Hard,90,🚩 Recommend Redo (Hard >50m),,Done,"DoublePointer, LinkedList",,
160. Intersection of Two Linked Lists,,Jan 26,,60,✅ Good job,,Done,"DoublePointer, LinkedList",,
242. Valid Anagram,,Jan 27,,20,✅ Good job,,Done,HashTable,,
349. Intersection of Two Arrays,,Jan 27,,20,✅ Good job,,Done,HashTable,,
202. Happy Number,,Jan 28,,40,✅ Good job,,Done,HashTable,,
1. Two Sum,,Jan 28,,10,✅ Good job,,Done,HashTable,,
454. 4sum II,,Jan 28,,40,✅ Good job,,Done,HashTable,,
383.Ransom Note,,Jan 29,Easy,20,✅ Good job,,Done,HashTable,,https://leetcode.com/problems/ransom-note/description/
15. ⭐3Sum,,Jan 29,Hard,80,🚩 Recommend Redo (Hard >50m),,Done,"DoublePointer, HashTable",,
18. 4Sum,,Jan 29,Medium,40,✅ Good job,,Done,"DoublePointer, HashTable",,
344. Reverse String,,Jan 30,Easy,5,✅ Good job,,Done,"DoublePointer, String",,
541.Reverse String II,,Jan 30,,30,✅ Good job,,Done,"DoublePointer, String",,
KamaCoder 54. 替换数字,,Jan 30,Easy,20,✅ Good job,,Done,"DoublePointer, String",,
151. Reverse Words in a String,,Jan 31,Easy,20,✅ Good job,,Done,"DoublePointer, String",,
KamaCoder 55. 右旋字符串,,Feb 3,Easy,20,✅ Good job,,Done,String,,https://kamacoder.com/problempage.php?pid=1065
459. Repeated Substring Pattern,,Feb 5,Hard,60,🚩 Recommend Redo (Hard >50m),,MoreSolution,"KMP, String",,
232. Implement Queue using Stacks,,Feb 6,,20,✅ Good job,,Done,Stack&Queue,,
225. Implement Stack using Queues,,Feb 6,,30,✅ Good job,,Done,Stack&Queue,,
20. Valid Parentheses,,Feb 6,,30,✅ Good job,,Done,Stack&Queue,,
1047. Remove All Adjacent Duplicates In String,,Feb 6,,20,✅ Good job,,Done,Stack&Queue,,
150. Evaluate Reverse Polish Notation,,Feb 7,,30,✅ Good job,,Done,Stack&Queue,,
